date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2022-12-09,Group B,MS,Jonatan CHRISTIE (4) Rank 5 Elo 2227 (+26),21-13 / 12-21 / 21-17,CHOU Tien Chen (2) Rank 4 Elo 2232 (-26),50,https://badmintonranks.com/tournament?id=12828,2,Jonatan CHRISTIE (4),5,2227,CHOU Tien Chen (2),4,2232
2022-12-09,Group B,WD,ZHANG .. / ZHENG .. (2) Rank 7 Elo 2102 (+29),21-19 / 20-22 / 21-9,Pearly TA.. / THINAAH .. Rank 9 Elo 2148 (-29),59,https://badmintonranks.com/tournament?id=12828,2,ZHANG .. / ZHENG .. (2),7,2102,Pearly TA.. / THINAAH ..,9,2148
2022-12-09,Group A,WS,CHEN Yu Fei (1) Rank 4 Elo 2449 (+26),21-16 / 21-12,AN Se Young (4) Rank 2 Elo 2464 (-26),40,https://badmintonranks.com/tournament?id=12828,2,CHEN Yu Fei (1),4,2449,AN Se Young (4),2,2464
2022-12-09,Group A,WS,Akane YAMAGUCHI Rank 1 Elo 2492 (+8),21-15 / 13-21 / 21-18,Gregoria Mariska TUNJ.. Rank 18 Elo 2194 (-7),61,https://badmintonranks.com/tournament?id=12828,2,Akane YAMAGUCHI,1,2492,Gregoria Mariska TUNJ..,18,2194
2022-12-09,Group B,WD,CHEN Qi.. / JIA Yi Fan (4) Rank 1 Elo 2330 (+12),21-16 / 21-16,Apriyani .. / Siti Fadia .. Rank 14 Elo 2129 (-12),37,https://badmintonranks.com/tournament?id=12828,2,CHEN Qi.. / JIA Yi Fan (4),1,2330,Apriyani .. / Siti Fadia ..,14,2129
2022-12-08,Group B,MD,LIU Yu C.. / OU Xuan .. (4) Rank 11 Elo 2099 (+29),23-21 / 22-24 / 21-16,Aaron CH.. / SOH Wooi.. Rank 4 Elo 2145 (-29),66,https://badmintonranks.com/tournament?id=12828,2,LIU Yu C.. / OU Xuan .. (4),11,2099,Aaron CH.. / SOH Wooi..,4,2145
2022-12-08,Group B,WS,HE Bing Jiao (3) Rank 5 Elo 2514 (+15),21-17 / 24-22,Ratchanok INTANON Rank 7 Elo 2374 (-15),48,https://badmintonranks.com/tournament?id=12828,2,HE Bing Jiao (3),5,2514,Ratchanok INTANON,7,2374
2022-12-08,Group A,MS,Viktor AXELSEN (1) Rank 1 Elo 2671 (+4),21-5 / 21-15,Kodai NARAOKA Rank 14 Elo 2241 (-4),33,https://badmintonranks.com/tournament?id=12828,2,Viktor AXELSEN (1),1,2671,Kodai NARAOKA,14,2241
2022-12-08,Group B,MD,Hendra S.. / Mohamm.. (2) Rank 6 Elo 2053 (+20),21-13 / 21-12,Kim AST.. / Anders Sk.. Rank 5 Elo 1964 (-20),26,https://badmintonranks.com/tournament?id=12828,2,Hendra S.. / Mohamm.. (2),6,2053,Kim AST.. / Anders Sk..,5,1964
2022-12-08,Group A,XD,Thom GI.. / Delphine .. Rank 10 Elo 2020 (+24),16-21 / 21-18 / 21-17,GOH Soo.. / LAI Shev.. (4) Rank 11 Elo 1987 (-24),60,https://badmintonranks.com/tournament?id=12828,2,Thom GI.. / Delphine ..,10,2020,GOH Soo.. / LAI Shev.. (4),11,1987
2022-12-08,Group A,XD,ZHENG .. / HUANG .. (1) Rank 3 Elo 2478 (+2),21-9 / 22-20,Rinov RI.. / Pitha Hani.. Rank 13 Elo 1944 (-2),33,https://badmintonranks.com/tournament?id=12828,3,ZHENG .. / HUANG .. (1),3,2478,Rinov RI.. / Pitha Hani..,13,1944
2022-12-08,Group A,WD,JEONG .. / KIM Hye .. (1) Rank 5 Elo 2086 (+24),21-14 / 21-12,Jongkolp.. / Rawinda .. Rank 6 Elo 2068 (-25),37,https://badmintonranks.com/tournament?id=12828,3,JEONG .. / KIM Hye .. (1),5,2086,Jongkolp.. / Rawinda ..,6,2068
2022-12-08,Group B,WS,TAI Tzu Ying (2) Rank 3 Elo 2441 (+8),22-20 / 21-16,Busanan ONGBAMRUN.. Rank 10 Elo 2156 (-8),44,https://badmintonranks.com/tournament?id=12828,3,TAI Tzu Ying (2),3,2441,Busanan ONGBAMRUN..,10,2156
2022-12-08,Group A,MS,LU Guang Zu Rank 17 Elo 2184 (+26),23-21 / 17-21 / 21-19,PRANNOY H. S. (3) Rank 12 Elo 2190 (-26),84,https://badmintonranks.com/tournament?id=12828,3,LU Guang Zu,17,2184,PRANNOY H. S. (3),12,2190
2022-12-08,Group B,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2276 (+9),21-9 / 21-11,TAN Kian.. / LAI Pei Jin.. Rank 8 Elo 1989 (-8),29,https://badmintonranks.com/tournament?id=12828,3,Dechapol.. / Sapsiree .. (2),1,2276,TAN Kian.. / LAI Pei Jin..,8,1989
2022-12-08,Group A,WD,Benyapa .. / Nuntakar.. (3) Rank 13 Elo 1946 (+10),21-9 / 21-12,Vivian H.. / LIM Chiew.. Rank 24 Elo 1693 (-15),27,https://badmintonranks.com/tournament?id=12828,3,Benyapa .. / Nuntakar.. (3),13,1946,Vivian H.. / LIM Chiew..,24,1693
2022-12-08,Group B,MS,Jonatan CHRISTIE (4) Rank 5 Elo 2194 (+33),16-21 / 22-20 / 21-10,LOH Kean Yew Rank 3 Elo 2311 (-33),62,https://badmintonranks.com/tournament?id=12828,3,Jonatan CHRISTIE (4),5,2194,LOH Kean Yew,3,2311
2022-12-08,Group B,XD,WANG Yi.. / HUANG .. (3) Rank 4 Elo 2196 (+11),21-16 / 21-7,Supak JO.. / Supissara .. Rank 12 Elo 1972 (-12),29,https://badmintonranks.com/tournament?id=12828,3,WANG Yi.. / HUANG .. (3),4,2196,Supak JO.. / Supissara ..,12,1972
2022-12-08,Group A,MD,Fajar ALF.. / Muhamm.. (1) Rank 3 Elo 2219 (+18),21-18 / 21-15,Takuro H.. / Yugo KOB.. Rank 1 Elo 2113 (-18),37,https://badmintonranks.com/tournament?id=12828,3,Fajar ALF.. / Muhamm.. (1),3,2219,Takuro H.. / Yugo KOB..,1,2113
2022-12-08,Group A,MD,ONG Yew.. / TEO Ee .. (3) Rank 8 Elo 2020 (+25),21-17 / 23-21,CHOI Sol.. / KIM Won .. Rank 15 Elo 2004 (-25),40,https://badmintonranks.com/tournament?id=12828,3,ONG Yew.. / TEO Ee .. (3),8,2020,CHOI Sol.. / KIM Won ..,15,2004
2022-12-08,Group B,MS,Anthony Sinisuka GINTI.. Rank 7 Elo 2318 (+20),21-14 / 12-21 / 21-19,CHOU Tien Chen (2) Rank 4 Elo 2253 (-21),56,https://badmintonranks.com/tournament?id=12828,3,Anthony Sinisuka GINTI..,7,2318,CHOU Tien Chen (2),4,2253
2022-12-08,Group B,WD,ZHANG .. / ZHENG .. (2) Rank 7 Elo 2069 (+33),21-14 / 21-19,Apriyani .. / Siti Fadia .. Rank 14 Elo 2161 (-32),35,https://badmintonranks.com/tournament?id=12828,3,ZHANG .. / ZHENG .. (2),7,2069,Apriyani .. / Siti Fadia ..,14,2161
2022-12-08,Group A,WS,CHEN Yu Fei (1) Rank 4 Elo 2416 (+33),21-19 / 21-18,Akane YAMAGUCHI Rank 1 Elo 2525 (-33),49,https://badmintonranks.com/tournament?id=12828,3,CHEN Yu Fei (1),4,2416,Akane YAMAGUCHI,1,2525
2022-12-08,Group B,WD,CHEN Qi.. / JIA Yi Fan (4) Rank 1 Elo 2315 (+15),21-13 / 21-15,Pearly TA.. / THINAAH .. Rank 9 Elo 2163 (-15),42,https://badmintonranks.com/tournament?id=12828,3,CHEN Qi.. / JIA Yi Fan (4),1,2315,Pearly TA.. / THINAAH ..,9,2163
2022-12-08,Group A,WS,AN Se Young (4) Rank 2 Elo 2454 (+10),21-9 / 11-21 / 21-10,Gregoria Mariska TUNJ.. Rank 18 Elo 2204 (-10),52,https://badmintonranks.com/tournament?id=12828,3,AN Se Young (4),2,2454,Gregoria Mariska TUNJ..,18,2204
2022-12-07,Group A,XD,ZHENG .. / HUANG .. (1) Rank 3 Elo 2474 (+4),21-8 / 21-9,Thom GI.. / Delphine .. Rank 10 Elo 2023 (-3),25,https://badmintonranks.com/tournament?id=12828,3,ZHENG .. / HUANG .. (1),3,2474,Thom GI.. / Delphine ..,10,2023
