date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-06-06,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2335 (+18),21-18 / 21-10,KIM Hye .. / KONG H.. (7) Rank 7 Elo 2216 (-17),45,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WD,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2047 (+35),21-9 / 21-19,Yuki FUK.. / Mayu MAT.. Rank 9 Elo 2149 (-34),40,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WD,BAEK Ha.. / LEE So H.. (3) Rank 3 Elo 2168 (+13),18-21 / 21-16 / 21-7,Febriana .. / Amallia C.. (8) Rank 10 Elo 1972 (-14),67,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WS,HAN Yue (4) Rank 4 Elo 2361 (+0),W.O.,CHEN Yu Fei (5) Rank 5 Elo 2659 (-3),0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,XD,CHENG .. / ZHANG C.. Rank 11 Elo 2041 (+28),21-19 / 21-13,Hiroki MI.. / Natsu SA.. (7) Rank 9 Elo 2055 (-29),42,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,XD,Thom GI.. / Delphine .. Rank 10 Elo 2038 (+15),21-11 / 23-21,Adnan M.. / Indah Cah.. Rank 32 Elo 1874 (-17),43,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WS,Akane YAMAGUCHI (3) Rank 3 Elo 2382 (+14),21-19 / 22-20,Putri Kusuma WARDANI Rank 12 Elo 2197 (-14),51,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,XD,Dechapol.. / Supissar.. (6) Rank 6 Elo 2223 (+14),21-16 / 21-12,GOH Soo.. / LAI Shev.. (3) Rank 5 Elo 2055 (-15),34,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2703 (+5),21-11 / 21-10,Pornpawee CHOCHU.. (6) Rank 8 Elo 2302 (-5),38,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,XD,CHEN Ta.. / TOH Ee .. (2) Rank 4 Elo 2099 (+23),17-21 / 21-16 / 21-14,Jesper T.. / Amalie M.. (5) Rank 8 Elo 2043 (-23),54,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,MS,LI Shi Feng (4) Rank 4 Elo 2327 (+13),21-18 / 21-18,LEONG Jun Hao Rank 25 Elo 2155 (-14),54,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,WS,GAO Fang jie Rank 14 Elo 2229 (+22),19-21 / 21-19 / 21-10,Tomoka MIYAZAKI (7) Rank 7 Elo 2180 (-22),68,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,WD,Rin IWAN.. / Kie NAK.. (6) Rank 5 Elo 2149 (+3),21-15 / 21-16,ONG Xin .. / Carmen TI.. Rank 47 Elo 1659 (-5),42,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,MS,CHOU Tien Chen (6) Rank 7 Elo 2139 (+29),21-18 / 9-21 / 21-17,Christo POPOV Rank 20 Elo 2185 (-29),70,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,WS,WANG Zhi Yi (2) Rank 2 Elo 2473 (+2),21-13 / 19-21 / 21-14,Kirsty GILMOUR Rank 28 Elo 1952 (-2),60,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-05,Round 2,MD,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2061 (+24),21-18 / 21-12,CHEN Bo.. / LIU Yi Rank 13 Elo 2031 (-24),45,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,GOH Sze.. / Nur IZZU.. (1) Rank 1 Elo 2138 (+7),21-14 / 16-21 / 21-14,Nur Mohd.. / TAN Wee .. Rank 28 Elo 1801 (-8),54,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,HUANG .. / LIU Yang Rank 24 Elo 1869 (+49),21-17 / 13-21 / 21-16,LIANG W.. / WANG C.. (4) Rank 4 Elo 2148 (-42),59,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2331 (+4),21-10 / 22-20,HSIEH P.. / HUNG En-.. Rank 13 Elo 1918 (-5),40,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,KIM Hye .. / KONG H.. (7) Rank 7 Elo 2192 (+24),24-22 / 21-18,JIA Yi Fan / ZHANG S.. Rank 8 Elo 2183 (-25),49,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2180 (+7),17-21 / 21-11 / 21-19,Takumi N.. / Yuichi SHI.. Rank 35 Elo 1844 (-8),55,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2030 (+26),21-13 / 21-9,Dechapol.. / Kittinupon.. Rank 14 Elo 2031 (-26),32,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
