date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
24/7/2025,Round 2,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2397 (+1),21-11 / 24-26 / 21-9,WONG Ti.. / LIM Chiew.. Rank 34 Elo 1679 (-1),59,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,FENG Ya.. / HUANG .. (1),1,2397,WONG Ti.. / LIM Chiew..,34,1679
24/7/2025,Round 2,MS,Anders ANTONSEN (2) Rank 3 Elo 2350 (+19),21-19 / 20-22 / 22-20,LIN Chun-Yi Rank 16 Elo 2254 (-19),89,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,Anders ANTONSEN (2),3,2350,LIN Chun-Yi,16,2254
24/7/2025,Round 2,MS,LI Shi Feng (5) Rank 5 Elo 2315 (+11),21-17 / 21-9,NG Ka Long Angus Rank 20 Elo 2095 (-11),44,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,LI Shi Feng (5),5,2315,NG Ka Long Angus,20,2095
24/7/2025,Round 2,WD,Pearly TA.. / THINAAH.. (3) Rank 3 Elo 2225 (+7),21-17 / 21-13,Rui HIRO.. / Sayaka H.. Rank 99 Elo 1894 (-7),38,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,Pearly TA.. / THINAAH.. (3),3,2225,Rui HIRO.. / Sayaka H..,99,1894
24/7/2025,Round 2,WD,JIA Yi Fan / ZHANG S.. Rank 7 Elo 2227 (+5),21-9 / 21-12,YEUNG .. / YEUNG P.. Rank 17 Elo 1831 (-5),29,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,JIA Yi Fan / ZHANG S..,7,2227,YEUNG .. / YEUNG P..,17,1831
24/7/2025,Round 2,MS,WANG Zheng Xing Rank 23 Elo 2059 (+31),21-12 / 25-27 / 23-21,LEE Chia Hao Rank 21 Elo 2135 (-31),69,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,WANG Zheng Xing,23,2059,LEE Chia Hao,21,2135
24/7/2025,Round 2,WS,Gregoria Mariska TUN.. (8) Rank 8 Elo 2202 (+11),21-13 / 21-14,LIN Hsiang Ti Rank 22 Elo 1980 (-12),33,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Gregoria Mariska TUN.. (8),8,2202,LIN Hsiang Ti,22,1980
24/7/2025,Round 2,WS,Akane YAMAGUCHI (3) Rank 4 Elo 2411 (+5),21-14 / 21-17,Busanan ONGBAMRUN.. Rank 20 Elo 1999 (-4),44,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Akane YAMAGUCHI (3),4,2411,Busanan ONGBAMRUN..,20,1999
24/7/2025,Round 2,XD,TANG Ch.. / TSE Ying.. (3) Rank 5 Elo 2124 (+12),21-18 / 21-16,Ruttanap.. / Jhenicha .. Rank 15 Elo 1908 (-13),42,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,TANG Ch.. / TSE Ying.. (3),5,2124,Ruttanap.. / Jhenicha ..,15,1908
24/7/2025,Round 2,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2334 (+2),21-11 / 21-12,LU Ming .. / HUNG En-.. Rank 35 Elo 1764 (-3),27,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,JIANG Zh.. / WEI Ya X.. (2),2,2334,LU Ming .. / HUNG En-..,35,1764
24/7/2025,Round 2,WS,WANG Zhi Yi (2) Rank 2 Elo 2516 (+4),21-15 / 21-13,Riko GUNJI Rank 28 Elo 2115 (-4),47,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,WANG Zhi Yi (2),2,2516,Riko GUNJI,28,2115
24/7/2025,Round 2,MD,Satwiksai.. / Chirag SH.. Rank 12 Elo 2143 (+15),21-19 / 21-19,Leo Rolly.. / Bagas M.. (8) Rank 10 Elo 1997 (-16),43,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Satwiksai.. / Chirag SH..,12,2143,Leo Rolly.. / Bagas M.. (8),10,1997
24/7/2025,Round 2,XD,Rehan N.. / Gloria Em.. Rank 16 Elo 1917 (+39),21-14 / 21-15,Hiroki MI.. / Natsu SA.. (8) Rank 8 Elo 2065 (-37),34,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Rehan N.. / Gloria Em..,16,1917,Hiroki MI.. / Natsu SA.. (8),8,2065
24/7/2025,Round 2,MS,Christo POPOV Rank 14 Elo 2224 (+28),21-12 / 13-21 / 21-16,Jonatan CHRISTIE (4) Rank 4 Elo 2261 (-28),62,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Christo POPOV,14,2224,Jonatan CHRISTIE (4),4,2261
24/7/2025,Round 2,WS,CHIU Pin-Chian Rank 21 Elo 1932 (+26),17-21 / 21-15 / 21-18,SUNG Shuo Yun Rank 23 Elo 1912 (-26),69,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,CHIU Pin-Chian,21,1932,SUNG Shuo Yun,23,1912
24/7/2025,Round 2,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2127 (+12),22-20 / 21-17,GAO Jia .. / WU Meng .. Rank 39 Elo 1914 (-13),35,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,CHEN Ta.. / TOH Ee .. (4),4,2127,GAO Jia .. / WU Meng ..,39,1914
24/7/2025,Round 2,MS,CHOU Tien Chen (6) Rank 6 Elo 2214 (+13),18-21 / 21-15 / 21-8,PRANNOY H. S. Rank 35 Elo 2026 (-13),65,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,CHOU Tien Chen (6),6,2214,PRANNOY H. S.,35,2026
24/7/2025,Round 2,MS,Toma Junior POPOV Rank 17 Elo 2157 (+10),21-17 / 21-16,Brian YANG Rank 32 Elo 1914 (-11),45,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Toma Junior POPOV,17,2157,Brian YANG,32,1914
24/7/2025,Round 2,MS,Kunlavut VITIDSARN (1) Rank 1 Elo 2435 (+8),23-21 / 21-7,LEONG Jun Hao Rank 26 Elo 2155 (-9),48,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Kunlavut VITIDSARN (1),1,2435,LEONG Jun Hao,26,2155
24/7/2025,Round 2,XD,GUO Xin .. / CHEN Fa.. Rank 9 Elo 2032 (+41),22-20 / 21-15,Dechapol.. / Supissar.. (5) Rank 3 Elo 2263 (-40),44,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,GUO Xin .. / CHEN Fa..,9,2032,Dechapol.. / Supissar.. (5),3,2263
24/7/2025,Round 2,XD,Jafar HID.. / Felisha Al.. Rank 14 Elo 2011 (+12),21-9 / 21-15,Mads VE.. / Christine .. Rank 24 Elo 1802 (-15),34,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Jafar HID.. / Felisha Al..,14,2011,Mads VE.. / Christine ..,24,1802
23/7/2025,Round 1,MD,MAN Wei.. / TEE Kai .. (6) Rank 7 Elo 2128 (+10),21-17 / 21-19,Junaidi A.. / YAP Roy .. Rank 24 Elo 1875 (-11),34,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,MAN Wei.. / TEE Kai .. (6),7,2128,Junaidi A.. / YAP Roy ..,24,1875
23/7/2025,Round 1,MD,Nur Mohd.. / TAN Wee .. Rank 25 Elo 1862 (+30),21-16 / 18-21 / 21-14,LEE Fan.. / LEE Fang-.. Rank 22 Elo 1869 (-30),52,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Nur Mohd.. / TAN Wee ..,25,1862,LEE Fan.. / LEE Fang-..,22,1869
23/7/2025,Round 1,WD,Pearly TA.. / THINAAH.. (3) Rank 3 Elo 2223 (+2),21-8 / 21-12,ONG Xin .. / Carmen TI.. Rank 38 Elo 1648 (-3),24,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Pearly TA.. / THINAAH.. (3),3,2223,ONG Xin .. / Carmen TI..,38,1648
23/7/2025,Round 1,WD,Yuki FUK.. / Mayu MA.. (8) Rank 9 Elo 2074 (+7),21-15 / 21-10,CHANG .. / YANG Chi.. Rank 20 Elo 1735 (-9),38,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Yuki FUK.. / Mayu MA.. (8),9,2074,CHANG .. / YANG Chi..,20,1735
23/7/2025,Round 1,WD,Rui HIRO.. / Sayaka H.. Rank 99 Elo 1851 (+43),21-10 / 21-16,Gabriela .. / Stefani ST.. Rank 15 Elo 2015 (-38),28,https://badmintonranks.com/tournament?id=14501,4,China Open 2025,Rui HIRO.. / Sayaka H..,99,1851,Gabriela .. / Stefani ST..,15,2015
23/7/2025,Round 1,MD,Christo P.. / Toma Juni.. Rank 20 Elo 1904 (+11),21-17 / 21-14,Kevin LEE / Ty Alexan.. Rank 65 Elo 1662 (-18),36,https://badmintonranks.com/tournament?id=14501,5,China Open 2025,Christo P.. / Toma Juni..,20,1904,Kevin LEE / Ty Alexan..,65,1662
23/7/2025,Round 1,WD,Febriana .. / Amallia C.. Rank 10 Elo 1966 (+8),21-10 / 21-16,SUNG Sh.. / YU Chien .. Rank 18 Elo 1658 (-14),31,https://badmintonranks.com/tournament?id=14501,5,China Open 2025,Febriana .. / Amallia C..,10,1966,SUNG Sh.. / YU Chien ..,18,1658
23/7/2025,Round 1,MD,ONG Yew.. / TEO Ee Yi Rank 28 Elo 1955 (+13),21-17 / 21-14,REN Xian.. / SUN Wen .. Rank Elo 1763 (-17),35,https://badmintonranks.com/tournament?id=14501,5,China Open 2025,ONG Yew.. / TEO Ee Yi,28,1955,REN Xian.. / SUN Wen ..,,1763
