date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-01-30,BWF World Tour Finals 2020,Semi final,WS,TAI Tzu Ying,1,2582,AN Se Young,9,2321
2021-01-30,BWF World Tour Finals 2020,Semi final,MD,Hendra SETIAWAN / Mohammad AHSAN,2,2292,CHOI Sol Gyu / SEO Seung Jae,8,2109
2021-01-30,BWF World Tour Finals 2020,Semi final,WD,KIM So Yeong / KONG Hee Yong,6,2209,Jongkolphan KITITHARAKUL / Rawinda PRAJONGJAI,11,1990
2021-01-30,BWF World Tour Finals 2020,Semi final,WD,LEE So Hee / SHIN Seung Chan,4,2196,CHOW Mei Kuan / LEE Meng Yean,14,1908
2021-01-31,BWF World Tour Finals 2020,Final,XD,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI,3,2280,SEO Seung Jae / CHAE Yu Jung,6,2199
2021-01-31,BWF World Tour Finals 2020,Final,MS,Anders ANTONSEN,3,2395,Viktor AXELSEN,4,2559
2021-01-31,BWF World Tour Finals 2020,Final,WS,TAI Tzu Ying,1,2587,Carolina MARIN,6,2515
2021-01-31,BWF World Tour Finals 2020,Final,MD,LEE Yang / WANG Chang,7,2281,Hendra SETIAWAN / Mohammad AHSAN,2,2299
2021-01-31,BWF World Tour Finals 2020,Final,WD,LEE So Hee / SHIN Seung Chan,4,2201,KIM So Yeong / KONG Hee Yong,6,2215
2021-11-23,Indonesia Open 2021,Round 1,XD,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI,2,2296,KIM Young Hyuk / CHAE Yu Jung,88,1780
2021-11-23,Indonesia Open 2021,Round 1,WS,YEO Jia Min,18,2035,Jordan HART,63,1616
2021-11-23,Indonesia Open 2021,Round 1,XD,CHAN Peng Soon / GOH Liu Ying,9,1840,Zachariah Josiahno SUMITRO / Hediana JULIMARBELA,95,1683
2021-11-23,Indonesia Open 2021,Round 1,MS,Kento MOMOTA,1,2516,Lakshya SEN,19,2135
2021-11-23,Indonesia Open 2021,Round 1,WS,Akane YAMAGUCHI,3,2502,Maria ULITINA,65,1670
2021-11-23,Indonesia Open 2021,Round 1,MS,Kenta NISHIMOTO,17,2100,Thomas ROUXEL,38,1881
