date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
18/12/2025,Group A,XD,Thom GI.. / Delphine .. Rank 5 Elo 2063 (+37),14-21 / 21-14 / 21-18,Dechapol.. / Supissar.. (1) Rank 3 Elo 2209 (-36),66,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,WD,LIU Shen.. / TAN Ning (3) Rank 1 Elo 2369 (+18),21-7 / 21-10,BAEK Ha.. / LEE So H.. Rank 7 Elo 2265 (-18),44,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,MS,Christo POPOV Rank 8 Elo 2330 (+32),21-11 / 18-21 / 21-10,Kunlavut VITIDSARN (1) Rank 2 Elo 2429 (-32),74,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,WS,WANG Zhi Yi (2) Rank 2 Elo 2565 (+5),21-17 / 21-19,Ratchanok INTANON Rank 8 Elo 2193 (-5),48,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,MS,Kodai NARAOKA Rank 9 Elo 2242 (+31),21-16 / 21-15,LI Shi Feng (2) Rank 4 Elo 2323 (-31),59,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,XD,FENG Ya.. / HUANG .. (2) Rank 1 Elo 2469 (+3),23-25 / 21-11 / 22-20,GOH Soo.. / LAI Shevo.. Rank 9 Elo 1992 (-4),69,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2423 (+9),22-20 / 21-17,Sabar Ka.. / Moh Reza.. Rank 10 Elo 2167 (-9),42,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,WD,KIM Hye .. / KONG H.. (2) Rank 3 Elo 2210 (+6),21-7 / 16-21 / 21-13,HSIEH P.. / HUNG En-.. Rank 9 Elo 1862 (-7),59,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,WD,JIA Yi Fan / ZHANG .. (4) Rank 4 Elo 2313 (+19),21-19 / 16-21 / 21-16,Yuki FUK.. / Mayu MAT.. Rank 5 Elo 2222 (-19),91,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,WS,HAN Yue (3) Rank 5 Elo 2423 (+0),W.O.,Pornpawee CHOCHUW.. Rank 6 Elo 2247 (-1),0,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,WS,AN Se Young (1) Rank 1 Elo 2787 (+1),21-9 / 21-6,Tomoka MIYAZAKI Rank 9 Elo 2152 (-1),33,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group B,XD,CHEN Ta.. / TOH Ee .. (3) Rank 4 Elo 2224 (+13),17-21 / 21-14 / 21-15,Jafar HID.. / Felisha Al.. Rank 10 Elo 2049 (-14),65,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,WD,Pearly TA.. / THINAAH.. (1) Rank 2 Elo 2313 (+12),21-13 / 21-18,Rin IWAN.. / Kie NAKA.. Rank 6 Elo 2118 (-13),52,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
18/12/2025,Group A,WS,Akane YAMAGUCHI (4) Rank 3 Elo 2510 (+8),22-24 / 21-19 / 21-13,Putri Kusuma WARDANI Rank 7 Elo 2236 (-8),65,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group A,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2417 (+6),21-19 / 23-25 / 21-14,CHIU Hsi.. / WANG Ch.. Rank 16 Elo 2046 (-6),56,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group A,MD,Sabar Ka.. / Moh Reza.. Rank 10 Elo 2148 (+19),23-21 / 21-19,MAN Wei.. / TEE Kai .. (4) Rank 4 Elo 2065 (-20),43,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group B,MS,Kodai NARAOKA Rank 9 Elo 2215 (+27),21-17 / 21-18,CHOU Tien Chen (3) Rank 6 Elo 2232 (-27),55,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group B,MD,Satwiksai.. / Chirag S.. (3) Rank 3 Elo 2137 (+21),12-21 / 22-20 / 21-14,LIANG W.. / WANG Ch.. Rank 5 Elo 2071 (-21),60,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group B,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2085 (+35),22-24 / 21-18 / 21-19,Fajar ALF.. / Muhamma.. Rank 8 Elo 2207 (-34),83,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
17/12/2025,Group B,MS,SHI Yu Qi Rank 1 Elo 2571 (+10),21-13 / 23-21,LI Shi Feng (2) Rank 4 Elo 2333 (-10),57,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025
