date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
5/6/2025,Round 2,WD,Rin IWAN.. / Kie NAK.. (6) Rank 5 Elo 2149 (+3),21-15 / 21-16,ONG Xin .. / Carmen TI.. Rank 47 Elo 1659 (-5),42,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Rin IWAN.. / Kie NAK.. (6),5,2149,ONG Xin .. / Carmen TI..,47,1659
5/6/2025,Round 2,MS,CHOU Tien Chen (6) Rank 7 Elo 2139 (+29),21-18 / 9-21 / 21-17,Christo POPOV Rank 20 Elo 2185 (-29),70,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHOU Tien Chen (6),7,2139,Christo POPOV,20,2185
5/6/2025,Round 2,WS,WANG Zhi Yi (2) Rank 2 Elo 2473 (+2),21-13 / 19-21 / 21-14,Kirsty GILMOUR Rank 28 Elo 1952 (-2),60,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,WANG Zhi Yi (2),2,2473,Kirsty GILMOUR,28,1952
5/6/2025,Round 2,MD,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2061 (+24),21-18 / 21-12,CHEN Bo.. / LIU Yi Rank 13 Elo 2031 (-24),45,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Fajar ALF.. / Muhamm.. (6),5,2061,CHEN Bo.. / LIU Yi,13,2031
5/6/2025,Round 2,MD,GOH Sze.. / Nur IZZU.. (1) Rank 1 Elo 2138 (+7),21-14 / 16-21 / 21-14,Nur Mohd.. / TAN Wee .. Rank 28 Elo 1801 (-8),54,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,GOH Sze.. / Nur IZZU.. (1),1,2138,Nur Mohd.. / TAN Wee ..,28,1801
5/6/2025,Round 2,MD,HUANG .. / LIU Yang Rank 24 Elo 1869 (+49),21-17 / 13-21 / 21-16,LIANG W.. / WANG C.. (4) Rank 4 Elo 2148 (-42),59,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,HUANG .. / LIU Yang,24,1869,LIANG W.. / WANG C.. (4),4,2148
5/6/2025,Round 2,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2331 (+4),21-10 / 22-20,HSIEH P.. / HUNG En-.. Rank 13 Elo 1918 (-5),40,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,LIU Shen.. / TAN Ning (1),1,2331,HSIEH P.. / HUNG En-..,13,1918
5/6/2025,Round 2,WD,KIM Hye .. / KONG H.. (7) Rank 7 Elo 2192 (+24),24-22 / 21-18,JIA Yi Fan / ZHANG S.. Rank 8 Elo 2183 (-25),49,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,KIM Hye .. / KONG H.. (7),7,2192,JIA Yi Fan / ZHANG S..,8,2183
5/6/2025,Round 2,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2180 (+7),17-21 / 21-11 / 21-19,Takumi N.. / Yuichi SHI.. Rank 35 Elo 1844 (-8),55,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,KIM Won .. / SEO Seu.. (5),6,2180,Takumi N.. / Yuichi SHI..,35,1844
5/6/2025,Round 2,MD,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2030 (+26),21-13 / 21-9,Dechapol.. / Kittinupon.. Rank 14 Elo 2031 (-26),32,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Sabar Ka.. / Moh Rez.. (8),8,2030,Dechapol.. / Kittinupon..,14,2031
5/6/2025,Round 2,MD,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2113 (+12),14-21 / 21-11 / 21-15,Junaidi A.. / YAP Roy .. Rank 23 Elo 1899 (-13),48,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,MAN Wei.. / TEE Kai .. (7),7,2113,Junaidi A.. / YAP Roy ..,23,1899
5/6/2025,Round 2,MD,Satwiksai.. / Chirag SH.. Rank 22 Elo 2171 (+12),16-21 / 21-18 / 22-20,Rasmus .. / Frederik S.. Rank 16 Elo 1969 (-13),68,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Satwiksai.. / Chirag SH..,22,2171,Rasmus .. / Frederik S..,16,1969
